user_id,item_id
2187,28914
2187,4187
2187,22423
2187,28915
2187,27545
397,6117
397,12592
397,22423
397,21638
397,31050
965,6117
965,12592
965,4565
965,8029
965,18771
772,22423
772,28747
772,23662
772,20773
772,27999
1373,22423
1373,21345
1373,23563
1373,6117
1373,4187
647,26146
647,24372
647,26139
647,30947
647,25140
1902,6117
1902,12592
1902,14169
1902,26899
1902,22272
950,10884
950,6117
950,12592
950,16133
950,16085
1277,10884
1277,27999
1277,16133
1277,16085
1277,23662
1364,26146
1364,24372
1364,26139
1364,13213
1364,22423
2329,22423
2329,22272
2329,22268
2329,21345
2329,22267
1951,22423
1951,6117
1951,24246
1951,12592
1951,4187
1020,23662
1020,20773
1020,23659
1020,20774
1020,27999
731,29466
731,18758
731,22423
731,23413
731,18768
1108,24246
1108,6117
1108,12592
1108,10884
1108,28914
1632,6117
1632,12592
1632,3528
1632,14261
1632,27919
490,6117
490,28625
490,30706
490,12592
490,28629
1335,29466
1335,27628
1335,10884
1335,22423
1335,17029
1620,30422
1620,8514
1620,8586
1620,10884
1620,16133
1240,6117
1240,12592
1240,28251
1240,28899
1240,29169
1291,22423
1291,30422
1291,28686
1291,26146
1291,30708
2353,22423
2353,6117
2353,27924
2353,12592
2353,21345
1998,22423
1998,18771
1998,18334
1998,26742
1998,18335
105,30422
105,28686
105,22423
105,28689
105,6117
1298,6117
1298,12592
1298,25140
1298,14261
1298,26964
2744,22423
2744,21345
2744,22987
2744,28251
2744,28270
140,8586
140,8514
140,28914
140,28915
140,29466
